Code;Bezeichnung;Niveau;Misc
3321;Berufe für Maler- und Lackiererarbeiten;;
33211;Maler-, Lackiererarbeiten - Helfer;Helfer;
33212;Maler-, Lackiererarbeiten - Fachkraft;Fachkraefte;
33213;Maler-, Lackiererarbeiten - Spezialist;Spezialisten;
3322;Berufe für Stuckateurarbeiten;;
33222;Stuckateurarbeiten - Fachkraft;Fachkraefte;
33223;Stuckateurarbeiten - Spezialist;Spezialisten;
3323;Berufe in der Bauwerksabdichtung;;
33232;Bauwerksabdichtung - Fachkraft;Fachkraefte;
33233;Bauwerksabdichtung - Spezialist;Spezialisten;
3324;Berufe im Holz- und Bautenschutz;;
33242;Holz- und Bautenschutz - Fachkraft;Fachkraefte;
33243;Holz- und Bautenschutz - Spezialist;Spezialisten;
3329;Aufsicht-MalerStuckBauwerksabdBautensch.;;Aufsicht
33293;Aufsicht-MalerStuckBauwerksabdBautensch.;;Aufsicht
333;Aus-,Trockenbau.Iso.Zimmer.Glas.Roll.bau;;
3330;Berufe im Aus- und Trockenbau (o.S.);;
33301;Aus- und Trockenbau (o.S.) - Helfer;Helfer;
33302;Aus- und Trockenbau (o.S.) - Fachkraft;Fachkraefte;
33303;Aus- und Trockenbau (o.S.) - Spezialist;Spezialisten;
3331;Berufe in der Isolierung;;
33312;Isolierung - Fachkraft;Fachkraefte;
3332;Berufe in der Zimmerei;;
33322;Zimmerei - Fachkraft;Fachkraefte;
33323;Zimmerei - Spezialist;Spezialisten;
3333;Berufe in der Bautischlerei;;
33332;Bautischlerei - Fachkraft;Fachkraefte;
3334;Berufe in der Glaserei;;
33342;Glaserei - Fachkraft;Fachkraefte;
3335;Berufe im Rollladen- und Jalousiebau;;
33352;Rollladen- und Jalousiebau - Fachkraft;Fachkraefte;
3339;Aufsicht-Aus-,Trockenbau.Iso.Zimm.Glas.;;Aufsicht
33393;Aufsicht-Aus-,Trockenbau.Iso.Zimm.Glas.;;Aufsicht
